mean_Length_of_IP_packets,std_Length_of_IP_packets,max_Length_of_IP_packets,min_Length_of_IP_packets,mean_Length_of_TCP_payload,std_Length_of_TCP_payload,max_Length_of_TCP_payload,min_Length_of_TCP_payload,Length_of_TCP_payload,mean_Time_difference_between_packets_per_session,std_Time_difference_between_packets_per_session,max_Time_difference_between_packets_per_session,min_Time_difference_between_packets_per_session,mean_Interval_of_arrival_time_of_forward_traffic,std_Interval_of_arrival_time_of_forward_traffic,max_Interval_of_arrival_time_of_forward_traffic,min_Interval_of_arrival_time_of_forward_traffic,mean_Interval_of_arrival_time_of_backward_traffic,std_Interval_of_arrival_time_of_backward_traffic,max_Interval_of_arrival_time_of_backward_traffic,min_Interval_of_arrival_time_of_backward_traffic,median_Time_difference_between_packets_per_session,mean_time_to_live,std_time_to_live,max_time_to_live,min_time_to_live,mean_TCP_windows_size_value,std_TCP_windows_size_value,max_TCP_windows_size_value,min_TCP_windows_size_value,median_TCP_windows_size_value,The_times_of_change_of_payload_per_session,Change_values_of_TCP_windows_length_per_session,src_ip,dst_ip,src_port,dst_port,protocol,bidirectional_duration_ms,bidirectional_packets,application_name,application_category_name,requested_server_name,flow_id,sent_ts
68.0,0.0,68,68,68.0,0.0,68,68,68,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,170.114.52.5,10.8.1.3,443,51884,6,0,2,TLS,Web,,170.114.52.5:443-10.8.1.3:51884-6-1776443845024,1776443860917
68.0,0.0,68,68,68.0,0.0,68,68,68,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,170.114.52.5,10.8.1.3,443,45534,6,0,2,TLS,Web,,170.114.52.5:443-10.8.1.3:45534-6-1776443845154,1776443860922
85.33333333333333,15.143755588800728,96,68,80.0,16.97056274847714,92,68,160,36.0,50.91168824543142,72,0,72.0,0.0,72,72,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,104.18.39.21,10.8.1.3,443,54740,6,72,3,TLS,Web,,104.18.39.21:443-10.8.1.3:54740-6-1776443841829,1776443861941
85.33333333333333,15.143755588800728,96,68,80.0,16.97056274847714,92,68,160,36.0,50.91168824543142,72,0,72.0,0.0,72,72,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,104.18.39.21,10.8.1.3,443,50922,6,72,3,TLS,Web,,104.18.39.21:443-10.8.1.3:50922-6-1776443846574,1776443867060
85.33333333333333,15.143755588800728,96,68,80.0,16.97056274847714,92,68,160,36.5,51.61879502661797,73,0,73.0,0.0,73,73,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,104.18.39.21,10.8.1.3,443,52160,6,73,3,TLS,Web,,104.18.39.21:443-10.8.1.3:52160-6-1776443846929,1776443867064
95.66666666666667,25.11307760244982,126,68,87.75,25.695330315059195,122,68,351,1549.0,3383.362380827688,7601,0,2581.666666666667,4346.870176728693,7601,72,7673.0,0.0,7673,7673,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,208.103.161.1,10.8.1.3,443,35838,6,7745,6,TLS,Web,,208.103.161.1:443-10.8.1.3:35838-6-1776443842968,1776443869108
72.5,14.252819269985048,92,56,68.0,16.97056274847714,92,56,272,31.0,81.57818335805229,216,0,72.33333333333334,125.28500841414879,217,0,0.33333333333333337,0.5773502691896258,1,0,108.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,10.8.1.3,34.170.65.59,39372,443,6,217,8,TLS,Web,,10.8.1.3:39372-34.170.65.59:443-6-1776443843115,1776443869112
129.6,88.43246010374246,278,68,145.66666666666666,115.17956994768358,278,68,437,1073.5,1781.853435798429,3739,0,2000.5,2458.6102781856257,3739,262,4032.0,0.0,4032,4032,293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,10.8.1.3,134.224.4.147,55070,443,6,4294,5,TLS,Web,,10.8.1.3:55070-134.224.4.147:443-6-1776443843808,1776443869117
95.66666666666667,25.11307760244982,126,68,87.75,25.695330315059195,122,68,351,1280.4,2782.240158577257,6257,0,2134.0,3570.622774811139,6257,72,6330.0,0.0,6330,6330,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,208.103.161.1,10.8.1.3,443,35828,6,6402,6,TLS,Web,,208.103.161.1:443-10.8.1.3:35828-6-1776443844302,1776443870132
223.20000000000002,245.46681151543797,832,68,183.6,166.2777796339607,429,68,918,1124.111111111111,2063.4931817457286,5218,0,2493.25,2617.8542581027436,5218,146,2503.25,2721.545072809439,5362,0,252.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,10.8.1.3,149.154.167.41,59250,443,6,10117,10,Telegram,Chat,,10.8.1.3:59250-149.154.167.41:443-6-1776443837149,1776443871157
